year,base,impact,exploitability,type
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,5.5,3.6,1.8,SW
2021,7.8,5.9,1.8,SW
2021,7.8,5.9,1.8,SW
2021,7.8,5.9,1.8,SW
2021,7.8,5.9,1.8,SW
2020,6.7,5.9,0.8,SW
2020,4.7,2.7,1.6,SW
2020,8.2,6,1.5,SW
2020,6.7,5.9,0.8,SW
2020,9.8,5.9,3.9,SW
2020,9.8,5.9,3.9,SW
2020,7.8,5.9,1.8,SW
2020,5.4,2.7,2.3,SW
2020,9.9,6,3.1,SW
2020,8.8,5.9,2.8,SW
2020,7.5,3.6,3.9,SW
2020,7.8,5.9,1.8,SW
2020,7.5,3.6,3.9,SW
2020,7.3,5.9,1.3,SW
2020,7.5,3.6,3.9,SW
2020,4.3,1.4,2.8,SW
2020,8.6,4,3.9,SW
2020,8.6,4,3.9,SW
2020,8.8,5.9,2.8,SW
2020,5.3,1.4,3.9,SW
2020,7.3,3.4,3.9,SW
2020,7.3,3.4,3.9,SW
2020,7.3,3.4,3.9,SW
2020,7.3,3.4,3.9,SW
2020,5.3,1.4,3.9,SW
2020,8.1,5.9,2.2,SW
2020,9.8,5.9,3.9,SW
2020,8,6,1.3,SW
2020,9.8,5.9,3.9,SW
2020,6.5,2.5,3.9,SW
2020,7.3,3.4,3.9,SW
2020,6.5,2.5,3.9,SW
2020,6.5,2.5,3.9,SW
2020,6.5,2.5,3.9,SW
2020,5.4,2.5,2.8,SW
2020,7.8,5.9,1.8,SW
2020,8.6,4.7,3.9,SW
2020,8.6,4.7,3.9,SW
2020,4.7,3.6,1,SW
2020,7.5,5.9,1.6,SW
2020,7,5.9,1,SW
2020,7.8,5.9,1.8,SW
2020,7.8,5.9,1.8,SW
2020,7.8,5.9,1.8,SW
2020,7.8,5.9,1.8,SW
2020,5.5,3.6,1.8,SW
2020,7.8,5.9,1.8,SW
2020,8.8,5.9,2.8,SW
2020,7.8,5.9,1.8,SW
2020,8.5,6,1.8,SW
2020,7.8,5.9,1.8,SW
2020,8.8,5.9,2.8,SW
2020,8.8,5.9,2.8,SW
2020,8.8,5.9,2.8,SW
2020,8.8,5.9,2.8,SW
2020,8.8,5.9,2.8,SW
2020,5,3.6,1.3,SW
2020,8.6,4.7,3.9,SW
2020,8.6,4.7,3.9,SW
2020,7.8,5.9,1.8,SW
2020,7.8,5.9,1.8,SW
2020,7.8,5.9,1.8,SW
2020,6.8,5.9,0.9,SW
2020,7.8,5.9,1.8,SW
2020,6.6,5.2,1.3,SW
2020,7.8,5.9,1.8,SW
2020,9.9,6,3.1,SW
2020,8.6,4.7,3.9,SW
2020,7.8,5.9,1.8,SW
2020,7.5,3.6,3.9,SW
2020,7.6,6,0.9,SW
2019,7.8,5.9,1.8,SW
2019,4.4,3.6,0.7,SW
2019,7.8,5.9,1.8,SW
2019,7.5,3.6,3.9,SW
2019,7.5,3.6,3.9,SW
2019,7.5,3.6,3.9,SW
2019,9.8,5.9,3.9,SW
2019,4.6,3.6,0.9,SW
2019,9.1,6,2.3,SW
2019,7.8,5.9,1.8,SW
2019,7.8,5.9,1.8,SW
2019,7.3,3.4,3.9,SW
2019,7.3,3.4,3.9,SW
2019,7.3,3.4,3.9,SW
2019,7.3,3.4,3.9,SW
2019,7.3,3.4,3.9,SW
2019,7.3,3.4,3.9,SW
2019,7.3,3.4,3.9,SW
2019,7.3,3.4,3.9,SW
2019,7.3,3.4,3.9,SW
2019,7.3,3.4,3.9,SW
2019,7.3,3.4,3.9,SW
2019,7.3,3.4,3.9,SW
2019,7.3,3.4,3.9,SW
2019,7.3,3.4,3.9,SW
2019,7.3,3.4,3.9,SW
2019,8.2,4.2,3.9,SW
2019,7.3,3.4,3.9,SW
2019,6.5,2.5,3.9,SW
2019,6.5,4,2,SW
2019,7.5,3.6,3.9,SW
2019,5.9,3.6,2.2,SW
2019,7.2,5.9,1.2,SW
2019,4.4,3.6,0.8,SW
2019,6.7,5.9,0.8,SW
2019,7.8,5.9,1.8,SW
2019,6.7,5.9,0.8,SW
2019,7.5,3.6,3.9,SW
2019,8.6,4,3.9,SW
2019,7.5,3.6,3.9,SW
2019,8.6,4,3.9,SW
2019,8.6,4,3.9,SW
2019,6.5,3.6,2.8,SW
2019,8.6,4,3.9,SW
2019,9.8,5.9,3.9,SW
2019,9.8,5.9,3.9,SW
2019,7.5,3.6,3.9,SW
2019,7.8,5.9,1.8,SW
2019,5.4,2.7,2.3,SW
2019,7.8,5.9,1.8,SW
2019,7.8,5.9,1.8,SW
2019,7.8,5.9,1.8,SW
2019,7.8,4.7,1.7,SW
2019,6.9,2.7,2.8,SW
2019,6.1,5.9,1.8,SW
2019,5.6,4,1.1,SW
2019,7.8,5.9,1.8,SW
2019,5.6,4,1.1,SW
2019,7.8,5.9,1.8,SW
2019,10,6,3.9,SW
2019,5.9,3.6,2.2,SW
2019,7.8,5.9,1.8,SW
2018,6.5,3.6,2.8,SW
2018,7.8,5.9,1.8,SW
2018,7.8,5.9,1.8,SW
2018,8.8,5.9,2.8,SW
2018,8.1,5.9,2.2,SW
2018,8.1,5.9,2.2,SW
2018,8.8,5.9,2.8,SW
2018,9.8,5.9,3.9,SW
2018,7.5,3.6,3.9,SW
2018,7.1,4.2,2.8,SW
2018,7.1,4.2,2.8,SW
2018,6.4,2.7,3.1,SW
2018,7.1,5.5,1.6,SW
2018,6.8,4,2.3,SW
2018,8.6,4,3.9,SW
2018,9.8,5.9,3.9,SW
2018,6.8,4,2.2,SW
2018,7.8,5.9,1.8,SW
2018,9,6,2.2,SW
2018,7.5,5.9,1.6,SW
2018,4.2,3.6,0.6,SW
2018,7.5,3.6,3.9,SW
2018,7.5,3.6,3.9,SW
2018,8.6,4,3.9,SW
2017,6.5,3.6,2.8,SW
2017,6.5,3.6,2.8,SW
2017,9.8,5.9,3.9,SW
2017,8.1,5.9,2.2,SW
2017,4.6,3.6,0.9,SW
2017,4.6,3.6,0.9,SW
2017,9.8,5.9,3.9,SW
2017,6.5,3.6,2.8,SW
2017,9.8,5.9,3.9,SW
2017,8.1,5.9,2.2,SW
2017,9.8,5.9,3.9,SW
2017,9.8,5.9,3.9,SW
2017,10,6,3.9,SW
2017,8.6,4,3.9,SW
2017,8.6,4.7,3.9,SW
2017,8.6,4.7,3.9,SW
2017,8.8,5.9,2.8,SW
2017,8.8,5.9,2.8,SW
2017,4.6,3.6,0.9,SW
2017,8.8,5.9,2.8,SW
2017,8.1,5.9,2.2,SW
2017,9.8,5.9,3.9,SW
2017,5.9,3.6,2.2,SW
2016,8.6,4,3.9,SW
2016,4.6,3.6,0.9,SW
2016,9.9,6,3.1,SW
2016,5.9,3.6,2.2,SW
2016,5.9,3.6,2.2,SW
2016,5.9,3.6,2.2,SW
2016,9.8,5.9,3.9,SW
2023,4.9,3.6,1.2,FW
2023,9.1,5.2,3.9,FW
2023,5.5,3.6,1.8,FW
2023,8.1,5.9,2.2,FW
2023,8.8,5.9,2.8,FW
2023,8.8,5.9,2.8,FW
2023,5.4,2.7,2.3,FW
2023,9.8,5.9,3.9,FW
2023,8,5.9,2.1,FW
2023,7.8,5.9,1.8,FW
2023,8.8,5.9,2.8,FW
2023,9.8,5.9,3.9,FW
2023,6.5,3.6,2.8,FW
2023,7.3,5.9,1.3,FW
2023,7.3,5.9,1.3,FW
2023,8.1,5.9,2.2,FW
2023,7.8,5.9,1.8,FW
2023,5.7,4.7,0.9,FW
2023,7.5,3.6,3.9,FW
2023,9.8,5.9,3.9,FW
2023,9.8,5.9,3.9,FW
2023,8.8,5.9,2.8,FW
2023,7.8,5.9,1.8,FW
2023,5.4,2.5,2.8,FW
2023,7.2,5.9,1.2,FW
2023,7.8,5.9,1.8,FW
2023,7,5.9,1,FW
2023,8.8,5.9,2.8,FW
2023,8.8,5.9,2.8,FW
2023,5.9,3.6,2.2,FW
2023,5.9,3.6,2.2,FW
2023,7.3,5.9,1.3,FW
2023,8.1,5.9,2.2,FW
2023,9.8,5.9,3.9,FW
2023,9.8,5.9,3.9,FW
2023,7.8,5.9,1.8,FW
2022,8.8,5.9,2.8,FW
2022,9.8,5.9,3.9,FW
2022,8.8,5.9,2.8,FW
2022,8.8,5.9,2.8,FW
2022,8.8,5.9,2.8,FW
2022,6.5,3.6,2.8,FW
2022,6.5,3.6,2.8,FW
2022,6.5,3.6,2.8,FW
2022,8.8,5.9,2.8,FW
2022,7.5,5.9,1.6,FW
2022,4.8,3.6,1.2,FW
2022,4.8,3.6,1.2,FW
2022,4.8,3.6,1.2,FW
2022,6.5,3.6,2.8,FW
2022,7.8,5.9,1.8,FW
2022,7.3,3.4,3.9,FW
2022,7.3,3.4,3.9,FW
2022,7,5.9,1,FW
2022,7.8,5.9,1.8,FW
2022,9.8,5.9,3.9,FW
2022,7.8,5.9,1.8,FW
2022,8.4,5.9,2.5,FW
2022,6.8,5.9,0.9,FW
2022,7.5,3.6,3.9,FW
2022,2.7,1.4,1.2,FW
2022,4.9,3.6,1.2,FW
2022,4.9,3.6,1.2,FW
2022,5.5,3.6,1.8,FW
2022,5.3,1.4,3.9,FW
2022,10,6,3.9,FW
2022,9.8,5.9,3.9,FW
2022,7.2,5.9,1.2,FW
2022,6.4,5.9,0.5,FW
2022,6.8,5.9,0.9,FW
2022,7.2,5.9,1.2,FW
2022,7.8,5.9,1.8,FW
2022,8.1,5.2,2.8,FW
2022,8.8,5.9,2.8,FW
2022,8.8,5.9,2.8,FW
2022,7.8,5.9,1.8,FW
2022,7.8,5.9,1.8,FW
2022,7.4,5.9,1.4,FW
2022,7.4,5.9,1.4,FW
2022,6.7,5.9,0.8,FW
2022,7.3,4.7,2.5,FW
2022,8.8,5.9,2.8,FW
2022,8.8,5.9,2.8,FW
2022,7.3,5.5,1.8,FW
2022,7.8,5.9,1.8,FW
2022,8.4,5.9,2.5,FW
2022,8.4,5.9,2.5,FW
2022,6.7,5.9,0.8,FW
2022,9.8,5.9,3.9,FW
2022,7.5,3.6,3.9,FW
2022,7.5,3.6,3.9,FW
2022,9.8,5.9,3.9,FW
2022,9.8,5.9,3.9,FW
2022,6.5,3.6,2.8,FW
2022,7.8,5.9,1.8,FW
2022,6.5,3.6,2.8,FW
2022,7.8,5.9,1.8,FW
2022,8.8,5.9,2.8,FW
2022,8.8,5.9,2.8,FW
2022,8.8,5.9,2.8,FW
2022,9.8,5.9,3.9,FW
2022,9.8,5.9,3.9,FW
2022,6.7,5.9,0.8,FW
2022,3.3,1.4,1.8,FW
2022,3.3,1.4,1.8,FW
2022,3.3,1.4,1.8,FW
2022,3.3,1.4,1.8,FW
2022,3.3,1.4,1.8,FW
2022,6.7,5.9,0.8,FW
2022,5.3,1.4,3.9,FW
2022,7.3,5.9,1.3,FW
2022,7.5,3.6,3.9,FW
2022,6.5,3.6,2.8,FW
2021,9.8,5.9,3.9,FW
2021,9.8,5.9,3.9,FW
2021,7.8,5.9,1.8,FW
2021,8.8,5.9,2.8,FW
2021,7.5,3.6,3.9,FW
2021,7.8,5.9,1.8,FW
2021,7.8,5.9,1.8,FW
2021,5.3,1.4,3.9,FW
2021,4.6,3.6,0.9,FW
2021,5.4,2.7,2.3,FW
2021,5.4,2.7,2.3,FW
2021,5.4,2.7,2.3,FW
2021,5.4,2.7,2.3,FW
2021,5.4,2.7,2.3,FW
2021,5.4,2.7,2.3,FW
2021,5.4,2.7,2.3,FW
2021,9.8,5.9,3.9,FW
2021,7.2,5.9,1.2,FW
2021,7.5,3.6,3.9,FW
2021,8.8,5.9,2.8,FW
2021,8.8,5.9,2.8,FW
2021,4.3,1.4,2.8,FW
2021,4.3,1.4,2.8,FW
2021,4.3,1.4,2.8,FW
2021,4.3,1.4,2.8,FW
2021,7.8,5.9,1.8,FW
2021,7.8,5.9,1.8,FW
2021,8.8,5.9,2.8,FW
2021,4.9,3.6,1.2,FW
2021,7.8,5.9,1.8,FW
2021,7.8,5.9,1.8,FW
2021,7.2,5.9,1.2,FW
2021,7.5,3.6,3.9,FW
2021,6,5.2,0.8,FW
2021,7.5,3.6,3.9,FW
2021,4.9,3.6,1.2,FW
2021,8.8,5.9,2.8,FW
2021,6.1,2.7,2.8,FW
